ID (n.)	Ps	f.	IIIF-Link image	Transcription	IIIF-Link caption	Translation	DW Ref.	Source	Conservation	Ink	Hand	Type of caption (subcategory)	Psalm-ID	Remarks
81	40	137v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0175_fa_0137v.jp2/pct:21.00656,20.01308,35.36105,21.41923/pct:100/0/default.jpg	ὁ προφήτης Ἐζεκίας λέγει πρὸς τοὺς πενίτας· μακάριος ὅστις ποιήσει τὴν ὁδὸν κυρίου τρισμακάριος ὁ κατορθώσας αὐτὴν ἐν ὅλῃ τῇ ψυχῇ καὶ ἐν ὅλῃ τῇ διάνοιᾳ αὐτοῦ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0175_fa_0137v.jp2/pct:25.12035,22.20405,17.68053,6.63833/pct:100/0/default.jpg	The prophet Hezekiah says to the poor: Blessed is he who will do the way of the Lord, thrice blessed is he who has done it correctly with all his soul and with all his mind.	p. 19, pl. XXVII	Cf. Theodoret on title (PG80: 1161). Cf. Ps 118 title, Deut. 6:5.	Good	dark red 	E	Speaking caption (other speakers)	40	One should raise the possibility that this caption should have named Ezekiel rather than Hezekiah as a more fitting biblical figure to express concern for the poor: cf. Ezek 16:49-50 and 18:5-9.
82	41	139v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0178_fa_0139v.jp2/pct:23.93687,40.13672,36.60675,27.86458/pct:100/0/default.jpg	οἱ υἱοὶ τοῦ Κορὲ διδάσκοντες τὴν θείαν γραφὴν τὸν λαόν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0178_fa_0139v.jp2/pct:34.06401,42.74089,17.49233,5.4362/pct:100/0/default.jpg	The sons of Korah teach people Holy Scripture.	p. 19, pl. XXVII	Cf. title. 	Very good	bright red 	E	Descriptive caption (pedagogical)	41	
83	42	142v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0182_fa_0142v-143r.jp2/pct:12.66051,23.40491,19.64406,20.9816/pct:100/0/default.jpg	λέγων ὁ Δαυὶδ τὸν ἅγιον Σίλβεστρον· ὅτι σὺ ἐβοήθησάς με καὶ ἀπέκρυψάς με.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0182_fa_0142v-143r.jp2/pct:17.23361,25.15337,8.58301,5.88957/pct:100/0/default.jpg	David says to the holy Silvester: since you have helped me and hidden me.	p. 20, pl. XXVIII	Cf. Hes. on v. 2 written below image (PG27, 817B3).	Very good	bright red 	E	Speaking caption (David)	42	
84	43	144r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0184_fa_0144r.jp2/pct:44.1819,14.99344,39.63442,23.35958/pct:100/0/default.jpg	Μωϋσῆς καὶ οἱ προφῆται διηγοῦνται περὶ ἐθνῶν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0184_fa_0144r.jp2/pct:48.64021,15.87927,17.65493,5.44619/pct:100/0/default.jpg	Moses and the prophets are discussing about the nations.	p. 20, pl. XXVIII	Hes. on v. 1 written below image, abbr. (PG27, 820, 2)	Very good	bright red 	E	Descriptive caption (Jewish persons and references)	43	
85	44	148r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0189_fa_0148r.jp2/pct:44.80318,29.32897,32.90579,17.47954/pct:100/0/default.jpg	λέγων ὁ ἅγιος Σίλβεστρος τὸν Δαυίδ· γράφων οὗτος περὶ τὰς καρδίας τῶν πιστευόντων εἰς αὐτόν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0189_fa_0148r.jp2/pct:49.97789,31.29296,17.38169,5.43372/pct:100/0/default.jpg	The holy Silvester says to David: This one here is writing about the hearts of those who believe in him.	p. 20, XXVIII	Hes. on v. 2 (PG27, 825,3).	Very good	dark red 	E	Speaking caption (other speakers)	44	
86	45	151r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0192_fa_0150v-151r.jp2/pct:71.11513,23.86958,17.34902,27.74531/pct:100/0/default.jpg	οἱ υἱοὶ τοῦ Κορὲ μετὰ τοῦ Δαυίδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0192_fa_0150v-151r.jp2/pct:74.64375,34.45094,7.05723,5.44448/pct:100/0/default.jpg	The sons of Korah with David.	p. 20, pl. XXVIII	Cf. title.	Very good	dark red 	E	Descriptive caption (Jewish persons and references)	45	
87	46	153r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0195_fa_0153r.jp2/pct:44.06114,39.04885,34.49782,21.967/pct:100/0/default.jpg	Ἰησοῦς ὁ τοῦ Ναυῆ πολεμῶν τοὺς ἀλλοφύλους.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0195_fa_0153r.jp2/pct:53.36245,41.02232,16.94323,5.43513/pct:100/0/default.jpg	Joshua son of Nave fighting the foreigners.	p. 20, pl. XXIX	Cf. Eusebius on vv. 4-5 (PG 23,416,42–48).	Good	bright red 	E	Descriptive caption (Jewish persons and references)	46	
88	47	154v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0197_fa_0154v.jp2/pct:22.72329,17.19829,33.31874,25.87964/pct:100/0/default.jpg	οἱ διάκονοι λιτανεύουσιν διὰ τὸν Δαυίδ· συνέδραμον μὲν γὰρ ὡς πολεμήσοντες.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0197_fa_0154v.jp2/pct:26.35727,19.59882,20.05254,5.88622/pct:100/0/default.jpg	The deacons are reciting the litany through David: for they came together as if they were about to fight a war.	p. 21, pl. XXIX	Cf. Theodoret on vv. 5-6 (PG80, 1213).	Partly flaked	dark red 	G	Descriptive caption (David; liturgical)	47	
89	48	156v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0200_fa_0156v.jp2/pct:24.57143,40.13672,32.13187,22.81901/pct:100/0/default.jpg	ὁ Χριστὸς τὸν Δαυὶδ εἰς τὸ οὖς.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0200_fa_0156v.jp2/pct:28.7033,41.11328,13.40659,5.4362/pct:100/0/default.jpg	Christ (speaks to) David at the ear.	p. 21, pl. XXIX	Cf. Hes. on title written below image (PG27, 837,2).  See also Theodoret on title (PG80, 1217).	Flaked	dark red 	G	Descriptive caption (Jewish persons and references)	48	
90	49	159v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0204_fa_0159v-160r.jp2/pct:13.7246,18.16789,16.81716,18.78064/pct:100/0/default.jpg	καταδεξάμενος ὁ Χριστὸς τοὺς προφήτας καθεσθῆναι μετ’αὐτοῦ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0204_fa_0159v-160r.jp2/pct:18.48758,20.46569,10.29345,6.0049/pct:100/0/default.jpg	Christ is allowing the prophets to sit at table with him.	p. 21, pl. XXIX	Theodoret mentions the Sons of Korah in his preface on Ps 49 (PG 80,1228–1229)  	Partly flaked	dark red 	G	Descriptive caption (liturgical)	49a	
91	49	159v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0204_fa_0159v-160r.jp2/pct:13.7246,18.16789,16.81716,18.78064/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0204_fa_0159v-160r.jp2/pct:18.73589,20.34314,4.26637,5.45343/pct:100/0/default.jpg	Jesus Christ.	p. 21, pl. XXIX		Good	dark red 	(G)	Label or short identifying caption	49b	
92	50	162v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0207_fa_0162v.jp2/pct:24.24242,50.30675,30.7422,14.53019/pct:100/0/default.jpg	[Βερσάβεε λυομένη?]	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0207_fa_0162v.jp2/pct:37.32982,51.50145,14.84409,5.45689/pct:100/0/default.jpg	[Bathsheba bathing?]	p. 21-22, pl. XXX	Cf. title and 2 Kgdms 11:2.	No trace. Very little space available	/	/	Descriptive caption (David)	50a	
93	50	163r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0208_fa_0163r.jp2/pct:42.81411,20.89503,40.83477,22.70484/pct:100/0/default.jpg	ἀποστέλλων ὁ Δαυὶδ τὸν Οὐρίαν εἰς πόλεμον.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0208_fa_0163r.jp2/pct:49.95697,24.94242,17.98623,5.56104/pct:100/0/default.jpg	David sends Uriah to war.	p. 21-22, pl. XXX	Cf. 2 Kgdms 11:14–15	Good	bright red/dark red 	E	Descriptive caption (David)	50b	
94	50	163r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0208_fa_0163r.jp2/pct:38.0809,57.74926,43.58864,21.94801/pct:100/0/default.jpg	σφάζων τὸν Οὐρίαν εἰς πόλεμον.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0208_fa_0163r.jp2/pct:54.51807,67.4564,10.71429,6.54821/pct:100/0/default.jpg	Killing Uriah in war.	p. 21-22, pl. XXX	Cf. 2 Kgdms 11:16–17	Good	bright red/dark red 	E	Descriptive caption (David)	50c	
95	50	163v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0209_fa_0163v.jp2/pct:15.58386,9.18762,41.74098,23.92005/pct:100/0/default.jpg	ὁ προφήτης Ναθαν λέγων τὸν Δαυὶδ παραβολικὸν περὶ τῆς Βερσαβεὲ νοήσας τὸ ἁμάρτημα συνεχῶς αὐτὸν ὁ θεός.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0209_fa_0163v.jp2/pct:30.95541,15.86074,13.3758,11.34752/pct:100/0/default.jpg	The prophet Nathan saying to David in riddles about Bathsheeba: God knew this sin immediately.	p. 21-22, pl. XXXI	Cf. 2 Kgdms 12:10.	Good	bright red 	G	Descriptive caption (David)	50d	
96	50	164r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0210_fa_0164r.jp2/pct:30.93462,10.50393,18.60465,23.36387/pct:100/0/default.jpg	Καὶ ἡ ἁμαρτία μου ἐνώπιον μου ἐστὶν διὰ παντός.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0210_fa_0164r.jp2/pct:30.93462,10.1767,18.60465,5.43194/pct:100/0/default.jpg	And my sin is before me always.	p. 21-22, pl. XXXI	Ps 50: 5.	Good (placed in upper marg.)	bright red 	G	Speaking caption (David)	50e	
97	51	166v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0213_fa_0166v.jp2/pct:21.9459,14.00841,36.25654,28.72857/pct:100/0/default.jpg	ὁ Σαοὺλ διαλεγόμενος μετὰ τοῦ Δαυίδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0213_fa_0166v.jp2/pct:29.45026,15.98188,23.2548,5.43513/pct:100/0/default.jpg	Saul speaking with David.	p. 22, pl. XXXI	Cf. 1 Kgdms 12:9.	Very good	bright red/dark red 	E	Descriptive caption (David)	51	
98	52	168v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0216_fa_0168v.jp2/pct:24.9452,31.71937,34.02017,29.47958/pct:100/0/default.jpg	ὁ Μαελὲθ λυτρούμε(νος) ἐκ τῆς τοῦ διαβόλου παγίδος.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0216_fa_0168v.jp2/pct:36.16835,35.639,16.7032,5.43478/pct:100/0/default.jpg	Maeleth cleansing from the snare of the devil.	p. 22, pl. XXXI	Cf. Hes. on title (PG27, 857-8) (as Maeloth).	Very good	bright red 	E	Descriptive caption (liturgical)	52	
99	53	170r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0219_fa_0170r.jp2/pct:42.32292,41.2398,36.51562,27.30832/pct:100/0/default.jpg	κρυπτόμενος ὁ Δαυὶδ διὰ τοῦ Σαούλ·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0219_fa_0170r.jp2/pct:61.32864,46.68842,13.55037,5.44861/pct:100/0/default.jpg	David is hiding because of Saul.	p. 22, pl. XXXII	Cf. 1 Kgdms 23:19.	Good	bright red 	E	Descriptive caption (David)	53	
100	54	171v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0221_fa_0171v.jp2/pct:22.58628,36.30406,31.76059,27.29358/pct:100/0/default.jpg	ὁ Δαυὶδ προσευχόμενος· ἄκουσον ὁ θεὸς τῆς προσευχῆς μου.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0221_fa_0171v.jp2/pct:33.20227,38.92529,12.80035,6.22543/pct:100/0/default.jpg	David is praying: Hear my prayer, o God.	p. 23, pl. XXXII	Hes. on v. 2 (PG27, 864,1 at f. 172r).	Very good	bright red 	E	Speaking caption (David)	54	
101	55	176r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0227_fa_0176r.jp2/pct:35.22976,14.49416,38.64333,40.75875/pct:100/0/default.jpg	Τὸν Δαυὶδ ἐπίασαν οἱ ἀλλόφυλοι ἐν Γέθ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0227_fa_0176r.jp2/pct:38.46827,35.14916,29.49672,5.44747/pct:100/0/default.jpg	The strangers press on David at Gath.	p. 23, pl. XXXII	Cf. Hes. on title next to image (PG27, 869-870); 1 Kgdms 29:3–4.	Very good	bright red 	E	Descriptive caption (David)	55	
102	56	178v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0230_fa_0178v.jp2/pct:20.22817,13.34629,43.44011,21.2828/pct:100/0/default.jpg	ὁ Δαυὶδ ἀναχωρῶν ἐκ τοῦ κόσμου προσευχόμενος.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0230_fa_0178v.jp2/pct:35.49803,13.89699,18.60465,5.44218/pct:100/0/default.jpg	David withdraws from world and prays.	p. 23, pl. XXXII	Hes. on title next to image (PG27, 871-874).	Good	bright red 	E	Descriptive caption (David)	56	
103	57	180v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0233_fa_0180v.jp2/pct:24.84689,21.41927,34.03325,19.53125/pct:100/0/default.jpg	λέγει ὁ Δαυὶδ τὸν Χριστὸν· σοφὸν γὰρ ἐνθαῦτα τὸν θηρέποδον προσηγόρευσεν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0233_fa_0180v.jp2/pct:32.76465,22.07031,15.83552,5.4362/pct:100/0/default.jpg	David says to Christ: for there he greeted a wise man as the charmer of wild beasts.	p. 23, pl. XXXIII	Theodoret on v. 4 (PG80, 1297 on v. 7 at f. 181r).	Good	bright red/orange red 	G	Speaking caption (David)	57a	
104	57	180v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0233_fa_0180v.jp2/pct:24.84689,21.41927,34.03325,19.53125/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0233_fa_0180v.jp2/pct:36.61417,26.33464,9.97375,5.4362/pct:100/0/default.jpg	Jesus Christ.	p. 23, pl. XXXIII		Good	bright red 	(G)	Label or short identifying caption	57b	
105	58	182v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0236_fa_0182v-183r.jp2/pct:12.23166,51.82683,17.822,21.52287/pct:100/0/default.jpg	καὶ ἀπέστειλεν Σαοὺλ στρατιώτας εἰς τὸν οἶκον Δαυὶδ καὶ φυλάσσουσι αὐτὸν ὅπως παγιδεύσωσιν αὐτόν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0236_fa_0182v-183r.jp2/pct:16.12254,58.33589,11.96333,4.08351/pct:100/0/default.jpg	And Saul sent soldiers to the house of David and they guarded him so as to ensnare him.	p. 23, pl. XXXIII	Cf. title; 1 Kgdms 19:11.	Good	bright red 	E	Descriptive caption (David)	58a	
106	58	183r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0236_fa_0182v-183r.jp2/pct:69.83453,7.52226,16.70394,31.96193/pct:100/0/default.jpg	καὶ φυλάσσουσιν τὸν Δαυὶδ οἱ στρατιώται· καὶ ἡ γυνὴ αὐτοῦ ἡ Μελχὼλ διὰ τῆς θυρίδος.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0236_fa_0182v-183r.jp2/pct:70.90787,7.12312,14.1771,4.08351/pct:100/0/default.jpg	And the soldiers guarded David. And his wife Melchol through the door.	p. 23, pl. XXXIII	Cf. title. 	Good	bright red/orange red 	G	Descriptive caption (David)	58b	in margin
107	59	186v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0240_fa_0186v.jp2/pct:24.26632,11.81256,34.8226,26.1959/pct:100/0/default.jpg	ἡ Συρία.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0240_fa_0186v.jp2/pct:46.29873,24.82916,7.31494,5.43443/pct:100/0/default.jpg	Syria.	p. 24, pl. XXXIII	Cf. 2 Kgdms 8 and 10.	Good	pale red 	H	Label or short identifying caption	59a	
108	59	186v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0240_fa_0186v.jp2/pct:18.39685,45.78588,41.13009,28.70159/pct:100/0/default.jpg	ἡ Μεσοποταμία.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0240_fa_0186v.jp2/pct:18.39685,45.78588,41.13009,28.70159/pct:100/0/default.jpg	Mesopotamia.	p. 24, pl. XXXIII		Flaked	pale red 	U	Label or short identifying caption	59b	
109	59	187r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0241_fa_0187r.jp2/pct:38.64949,15.85127,43.98045,38.19309/pct:100/0/default.jpg	Ἀκύλας	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0241_fa_0187r.jp2/pct:52.77654,20.97195,7.41892,5.44684/pct:100/0/default.jpg	Aquilas.	p. 24, pl. XXXIV	Theodoret on v. 5 (PG80, 1317 at f. 187v). Cf. Eus. (PG23, 560).	Partly flaked	pale red 	H	Label or short identifying caption	59c	
110	59	187r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0241_fa_0187r.jp2/pct:38.64949,15.85127,43.98045,38.19309/pct:100/0/default.jpg	Σύμμαχος	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0241_fa_0187r.jp2/pct:62.32785,21.62427,7.41892,5.44684/pct:100/0/default.jpg	Symmachos.	p. 24, pl. XXXIV		Partly flaked	pale red 	H	Label or short identifying caption	59d	
111	59	187r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0241_fa_0187r.jp2/pct:38.64949,15.85127,43.98045,38.19309/pct:100/0/default.jpg	οὕτω γὰρ καὶ ὁ Ἀκύλας ἡρμήνευσεν ἐπότισας ἡμᾶς οἶνον καρώσεως.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0241_fa_0187r.jp2/pct:52.3323,25.66862,15.4598,5.44684/pct:100/0/default.jpg	Hor thus also Aquila interpreted (the verse): you have made us drink the wine of gladness.	p. 24, pl. XXXIV	Theodoret on v. 5 (PG23, 560); cf. Eus. (PG80, 1317).	Partly flaked	pale red 	H	Descriptive caption (Jewish persons and references)	59e	
112	60	189r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0244_fa_0189r.jp2/pct:39.97396,32.79483,44.57465,29.01454/pct:100/0/default.jpg	οἱ κακῶς πράξαντες καὶ δαιμονίζοντες· ἐν τῷ θεῷ ποιήσωμεν δύναμιν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0244_fa_0189r.jp2/pct:46.26736,37.1567,20.65972,5.42811/pct:100/0/default.jpg	Those who do evil and become possessed. Let us perform powerful (works) in God. 	p. 25, pl. XXXIV	Ps 59:14.	Good	pale red 	H	Descriptive caption (eschatological; liturgical)	60a (59)	
113	60	189r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0244_fa_0189r.jp2/pct:39.97396,32.79483,44.57465,29.01454/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0244_fa_0189r.jp2/pct:66.53646,36.93053,8.76736,5.42811/pct:100/0/default.jpg	Jesus Christ.	p. 25, pl. XXXIV		Good	pale red 	H	Label or short identifying caption	60b	
114	61	191r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0247_fa_0191r.jp2/pct:41.75099,19.58156,44.78663,28.47336/pct:100/0/default.jpg	Οἱ υἱοὶ τοῦ Κορὲ λέγοντες· σὺ γὰρ ἔστης θεός μου καὶ σωτήρ μου.  	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0247_fa_0191r.jp2/pct:47.16234,23.40634,23.62516,5.42661/pct:100/0/default.jpg	The sons of Korah are saying: You are my God and my Saviour.  	p. 25, pl. XXXIV	Ps 61: 3.  	Good	pale red 	H	Speaking caption (Sons of Korah)	61a	
115	61	191r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0247_fa_0191r.jp2/pct:41.75099,19.58156,44.78663,28.47336/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0247_fa_0191r.jp2/pct:60.53674,27.00229,7.30312,5.42661/pct:100/0/default.jpg	Jesus Christ.	p. 25, pl. XXXIV		Good	pale red 	H	Label or short identifying caption	61b	
116	62	193r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0250_fa_0193r.jp2/pct:38.3194,50.57096,46.37044,25.08972/pct:100/0/default.jpg	ὁ ἅγιος Σίλβεστρος φωτίζων τοὺς ἐν σκότῳ καθημένους.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0250_fa_0193r.jp2/pct:45.8425,53.73573,27.36472,5.44861/pct:100/0/default.jpg	The holy Silvester gives light to those who sit in darkness.	p. 25, pl. XXXIV	Cf. Hes. on title and v. 2 (PG27, 893-896).	Good	pale red 	H	Descriptive caption (liturgical)	62a	
117	62	193v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0251_fa_0193v.jp2/pct:22.5265,13.45904,43.86042,30.42913/pct:100/0/default.jpg	Καὶ ἀπερχόμενοι εἰς τὸ φῶς τὸ αἰώνιον.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0251_fa_0193v.jp2/pct:29.63781,20.77373,12.01413,5.42913/pct:100/0/default.jpg	And they come to the light eternal.	p. 25, pl. XXXIV		Partly flaked	pale red 	H	Descriptive caption (liturgical; eschatological)	62b	
118	62	193v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0251_fa_0193v.jp2/pct:22.5265,13.45904,43.86042,30.42913/pct:100/0/default.jpg	ὁ ἅγιος Σίλβεστρος.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0251_fa_0193v.jp2/pct:41.47527,21.84655,7.37633,5.42913/pct:100/0/default.jpg	Holy Silvester.	p. 25, pl. XXXV		Good	pale red 	H	Label or short identifying caption	62c	
119	63	195v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0254_fa_0195v.jp2/pct:25.84071,13.67633,32.9646,20.51449/pct:100/0/default.jpg	ὁ Ἀκύλα διαλέγεται μετὰ τοὺς υἱοὺς τοῦ Κορέ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0254_fa_0195v.jp2/pct:35.53097,17.06285,14.64602,3.19114/pct:100/0/default.jpg	Aquila disputes with the sons of Korah.	p. 25, pl. XXXV	/	Flaked	bright red 	U	Descriptive caption (pedagogical)	63	
120	64	197v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0257_fa_0197v.jp2/pct:26.19794,10.82927,31.52709,16.26016/pct:100/0/default.jpg	λέγων ὁ Δαυίδ· ὁ ἀμνὸς τοῦ θεοῦ ὁ αἵρων τὴν ἁμαρτίαν τοῦ κοσμοῦ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0257_fa_0197v.jp2/pct:35.82624,12.91057,11.86744,10.47154/pct:100/0/default.jpg	David says: the Lamb of God who takes away the sin of the world.	p. 25, pl. XXXV	Hes. on v. 4 below image (PG27, 901,5= Jn 1:29).	Flaked	bright red 	G	Speaking caption (David)	64	
121	65	200r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0261_fa_0200r.jp2/pct:43.93873,14.42964,30.41575,24.76438/pct:100/0/default.jpg	λέγει ὁ Δαυίδ· ὁ λαὸς τῶν Ἰουδαίων μὴ καυχάσθας λέγοντες· σπέρμα Ἀβραὰμ ἐσμέν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0261_fa_0200r.jp2/pct:47.48359,16.96458,7.30853,15.9246/pct:100/0/default.jpg	David says: The people of the Jews are not boasting when they say, We are the seed of Abraham.	p. 26, pl. XXXV	Hes. on v. 7 (PG27, 905,15 at f. 201r).	Flaked	dark red 	L	Speaking caption (David)	65	
